Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5433-1,2014-01-23,Mark Van Huff,"1 John Street,Waterloo",Sydney,NSW,Home Office,Charlie Bui,High,Artisan 474 Labels,technology,Large Box,Regular Air,2014-01-25,1.84,2.88,1.04,5.0,374.44,2.0,0.0,47.42,0.99,46.12
5433-1,2014-02-25,Drenn Jones,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Medium,Steady Major Accent Highlighters,office supplies,Wrap Bag,Regular Air,2014-02-27,3.75,7.08,3.33,38.0,220.44,3.0,6.61,213.83,2.35,215.33
5434-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Alto Perma 2700 Stacking Storage Drawers,office supplies,Wrap Bag,Regular Air,2013-02-23,8.92,29.74,20.82,50.0,492.86,0.0,0.0,493.5,6.64,300.0
5434-1,2013-06-09,Beth Thompson,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,High,Smiths Colored Bar Computer Paper,office supplies,Small Box,Regular Air,2013-06-09,21.97,35.44,13.47,28.0,544.5,10.0,39.01,492.55,4.92,500.0
5434-1,2014-03-06,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Beekin 6 Outlet Metallic Surge Strip,technology,Small Box,Regular Air,2014-03-07,4.46,10.89,6.43,38.0,348.48,9.0,34.85,313.63,4.5,318.13
5434-1,2013-05-01,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Low,Artisan 487 Labels,office supplies,Wrap Bag,Regular Air,2013-05-02,2.29,3.69,1.4,40.0,149.5,4.0,4.49,145.02,0.5,146.52
5435-1,2014-10-16,Odella Nelson,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,High,Artisan 479 Labels,technology,Small Pack,Regular Air,2014-10-18,1.59,2.61,1.02,32.0,144.0,8.0,1.44,142.56,0.5,143.86
5435-1,2015-07-25,Valerie Mitchmen,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Artisan Non-Stick Binders,technology,Small Box,Regular Air,2015-07-27,2.74,4.49,1.75,13.0,83.52,4.0,2.63,84.11,1.49,73.68
5435-1,2014-02-25,Gary Hwang,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Low,Steady Pocket Accent Highlighters,office supplies,Small Box,Regular Air,2014-02-27,0.93,1.6,0.67,32.0,220.44,10.0,6.61,213.83,1.29,215.33
5436-1,2014-07-04,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Medium,Smiths Standard Envelopes,technology,Jumbo Drum,Delivery Truck,2014-07-06,3.52,5.68,2.16,5.0,220.44,1.0,6.61,213.83,1.39,213.33
5438-1,2014-08-07,John Lucas,"178 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Critical,Binder Clips by OIC,office supplies,Small Box,Regular Air,2014-08-09,0.93,1.48,0.55,32.0,88.96,6.0,3.76,86.96,0.7,82.15
5438-1,2015-03-25,Ed Braxton,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Low,Apex Preferred Stainless Steel Scissors,office supplies,Small Box,Regular Air,2015-03-27,2.5,5.68,3.18,1.0,93.52,6.0,0.0,99.66,3.6,92.64
5438-1,2014-03-12,Matt Collister,"97 Glebe Point Rd,Glebe",Sydney,NSW,Small Business,Nicholas Fernandes,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",office supplies,Wrap Bag,Regular Air,2014-03-13,21.56,35.94,14.38,2.0,504.9,4.0,10.1,494.8,6.66,501.98
5438-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,office supplies,Small Box,Regular Air,2013-12-19,1.84,2.88,1.04,34.0,40.3,5.0,2.0,38.36,0.99,39.02
5438-1,2014-04-04,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 48 Labels,office supplies,Small Box,Regular Air,2014-04-05,3.84,6.3,2.46,8.0,113.4,1.0,11.34,102.06,0.5,102.56
5439-1,2013-07-05,Robert Barroso,"163 Concord Road,North Strathfield",Sydney,NSW,Consumer,Charlie Bui,Low,Steady Major Accent Highlighters,technology,Jumbo Drum,Delivery Truck,2013-07-07,3.75,7.08,3.33,34.0,240.72,2.0,6.22,233.5,2.35,235.85
5439-1,2013-07-05,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Steady Major Accent Highlighters,office supplies,Wrap Bag,Regular Air,2013-07-07,3.75,7.08,3.33,11.0,240.72,1.0,7.22,233.5,2.35,235.85
5439-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Major Accent Highlighters,office supplies,Small Box,Regular Air,2014-03-13,3.75,7.08,3.33,38.0,240.72,4.0,7.22,233.5,2.35,235.85
5439-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Major Accent Highlighters,office supplies,Small Box,Regular Air,2014-03-13,3.75,7.08,3.33,27.0,240.72,3.0,7.22,233.5,2.35,235.85
5439-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Medium,Steady Major Accent Highlighters,office supplies,Wrap Bag,Regular Air,2014-03-13,3.75,7.08,3.33,31.0,240.72,4.0,7.22,233.5,2.35,235.85
5439-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Steady Major Accent Highlighters,technology,Small Box,Regular Air,2014-03-13,3.75,7.08,3.33,5.0,240.72,3.0,7.22,233.5,2.35,235.85
5440-1,2014-09-18,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Low,Beekin 6 Outlet Metallic Surge Strip,office supplies,Wrap Bag,Regular Air,2014-09-20,4.46,10.89,6.43,48.0,258.3,7.0,0.0,258.3,4.5,263.31
5440-1,2013-08-09,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,"Artisan Flip-Chart Easel Binder, Black",office supplies,Small Pack,Express Air,2013-08-16,13.88,22.38,8.5,7.0,880.16,5.0,38.23,708.06,15.1,735.26
5440-1,2013-07-21,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,Not Specified,Smiths Colored Bar Computer Paper,office supplies,Wrap Bag,Regular Air,2013-07-23,21.97,35.44,13.47,42.0,469.9,5.0,38.97,457.25,4.92,450.57
5440-1,2013-08-10,Edward Hooks,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Amtisan Printable Repositionable Plastic Tabs,office supplies,Small Box,Regular Air,2013-08-12,5.33,8.6,3.27,19.0,287.0,0.0,28.7,258.3,6.19,263.31
5442-1,2014-07-04,Patrick ODonnell,"22 Wentworth St,Parramatta",Sydney,NSW,Corporate,Aanya Zhang,Low,Barrel Sharpener,office supplies,Wrap Bag,Express Air,2014-07-05,1.46,3.57,2.11,33.0,136.04,7.0,10.36,121.8,4.17,131.06
5443-1,2013-11-18,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Consumer,Mihael Khan,Medium,Binder Posts,office supplies,Small Box,Regular Air,2013-11-20,3.5,5.74,2.24,10.0,63.12,9.0,6.14,61.6,5.01,63.47
5443-1,2014-08-28,Ruben Ausman,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 474 Labels,office supplies,Wrap Bag,Regular Air,2014-08-29,1.84,2.88,1.04,1.0,49.3,10.0,3.95,45.44,0.99,46.04
5443-1,2014-09-13,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Medium,Office Shears by Apex,office supplies,Wrap Bag,Regular Air,2014-09-21,0.94,2.08,1.14,46.0,119.84,5.0,5.93,119.61,2.56,110.63
5443-1,2013-08-03,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Beekin 105-Key Black Keyboard,office supplies,Small Box,Regular Air,2013-08-03,6.39,19.98,13.59,15.0,232.8,4.0,2.24,211.52,4.0,226.54
5443-1,2014-03-29,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Small Business,Charlie Bui,Not Specified,Apex Forged Steel Scissors with Black Enamel Handles,office supplies,Small Box,Regular Air,2014-03-30,4.1,9.31,5.21,27.0,131.4,3.0,6.57,126.83,3.98,131.63
5444-1,2015-06-25,Beth Paige,"73 York St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Smiths General Use 3-Ring Binders,office supplies,Wrap Bag,Regular Air,2015-06-26,1.18,1.88,0.7,1.0,9.4,2.0,0.75,8.65,1.49,10.14
5444-1,2014-03-17,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,High,Alto Perma 2700 Stacking Storage Drawers,office supplies,Wrap Bag,Regular Air,2014-03-18,7.13,20.98,13.85,12.0,743.5,2.0,0.0,743.5,5.42,750.14
5444-1,2014-03-13,Victoria Pisteka,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,Alto Perma 2700 Stacking Storage Drawers,office supplies,Wrap Bag,Regular Air,2014-03-12,8.92,29.74,20.82,46.0,743.5,5.0,0.0,743.5,6.64,750.14
5444-1,2013-06-26,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,Smiths Gold Paper Clips,office supplies,Small Box,Express Air,2013-06-27,1.82,2.98,1.16,26.0,8.94,3.0,0.8,8.14,1.58,9.62
5445-1,2014-03-17,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,TechSavi Cordless Elite Duo,office supplies,Small Box,Regular Air,2014-03-18,60.59,100.98,40.39,1.0,744.24,8.0,0.0,744.24,7.18,749.16
5445-1,2014-02-14,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan 48 Labels,office supplies,Small Box,Regular Air,2014-02-16,3.84,6.3,2.46,43.0,120.68,3.0,12.01,113.18,0.5,113.09
5445-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Critical,1726 Digital Answering Machine,office supplies,Small Box,Regular Air,2014-06-10,8.82,20.99,12.17,17.0,82.72,5.0,8.52,760.91,4.81,756.75
5445-1,2014-02-15,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"OIC Colored Binder Clips, Assorted Sizes",office supplies,Small Box,Regular Air,2014-02-20,2.29,3.58,1.29,10.0,107.0,6.0,0.0,106.5,1.63,104.0
5445-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Medium,12 Colored Short Pencils,technology,Small Box,Regular Air,2013-06-05,1.09,2.6,1.51,9.0,116.92,10.0,9.04,106.82,2.4,107.05
5445-1,2014-12-10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Smiths General Use 3-Ring Binders,office supplies,Wrap Bag,Regular Air,2014-12-11,1.18,1.88,0.7,47.0,47.2,7.0,4.76,43.2,1.49,45.0
5446-1,2014-03-02,Muth Yarre,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Low,Artisan Poly Binder Pockets,office supplies,Wrap Bag,Regular Air,2014-03-03,2.26,3.58,1.32,38.0,139.62,6.0,0.0,139.62,5.47,145.09
5446-1,2015-09-25,Roy Phan,"506 Swan Street,Richmond",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Alto Perma 3000 Stacking Storage Drawers,office supplies,Wrap Bag,Regular Air,2015-09-27,8.92,29.74,20.82,27.0,636.02,0.0,32.17,528.39,6.64,531.69
5446-1,2014-05-08,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Home Office,Aanya Zhang,High,Artisan Poly Binder Pockets,office supplies,Small Box,Regular Air,2014-05-12,2.26,3.58,1.32,3.0,139.62,0.0,0.0,139.62,5.47,145.09
5447-1,2014-12-27,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,Not Specified,Apex Straight Scissors,office supplies,Small Box,Regular Air,2014-12-29,5.19,12.98,7.79,41.0,552.25,10.0,30.39,528.39,3.14,531.84
5448-1,2014-04-04,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 48 Labels,office supplies,Wrap Bag,Regular Air,2014-04-05,3.84,6.3,2.46,17.0,113.4,9.0,11.34,102.06,0.5,102.56
5449-1,2014-03-28,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Beekin 105-Key Black Keyboard,office supplies,Small Box,Regular Air,2014-03-28,6.39,19.98,13.59,37.0,526.38,3.0,15.79,510.59,4.0,522.98
5449-1,2013-03-23,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan Poly Binder Pockets,office supplies,Small Box,Regular Air,2013-03-26,2.26,3.58,1.32,24.0,23.06,10.0,2.16,20.36,5.47,22.66
5449-1,2014-02-24,Pauline Chand,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Low,Smiths Pushpins,office supplies,Wrap Bag,Regular Air,2014-02-26,0.94,1.88,0.94,37.0,536.52,4.0,10.43,522.19,0.79,516.99
5449-1,2014-03-28,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,High,Brown Kraft Recycled Envelopes,office supplies,Small Box,Regular Air,2014-03-28,11.04,16.98,5.94,18.0,526.38,10.0,15.79,510.59,12.39,522.98
5450-1,2013-09-03,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Low,Alto Memo Cubes,office supplies,Small Box,Regular Air,2013-09-05,3.32,5.18,1.86,10.0,101.26,10.0,2.32,90.68,2.04,92.33
5450-1,2014-03-29,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Small Business,Charlie Bui,Critical,"Angle-D Binders with Locking Rings, Label Holders",office supplies,Wrap Bag,Regular Air,2014-03-30,4.53,7.3,2.77,8.0,131.4,10.0,6.57,124.83,7.72,132.55
5450-1,2014-04-04,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Critical,"Alto Parchment Paper, Assorted Colors",technology,Small Box,Regular Air,2014-04-05,4.59,7.28,2.69,8.0,153.98,0.0,5.21,147.69,11.15,141.38
5450-1,2014-09-21,George Ashbrook,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 479 Labels,office supplies,Small Box,Regular Air,2014-09-22,1.59,2.61,1.02,3.0,33.68,0.0,2.63,30.63,0.5,31.32
5450-1,2014-03-19,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan Poly Binder Pockets,office supplies,Wrap Bag,Regular Air,2014-03-21,2.26,3.58,1.32,8.0,131.04,4.0,5.57,129.45,5.47,124.45
5450-2,2013-07-05,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Critical,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",office supplies,Small Box,Regular Air,2013-07-07,2.39,4.26,1.87,46.0,140.4,9.0,7.02,133.38,1.2,141.16
5451-1,2014-03-31,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,Nicholas Fernandes,Critical,"DrawIt Colored Pencils, 48-Color Set",technology,Small Box,Regular Air,2014-03-31,21.56,36.55,14.99,33.0,9.11,5.0,0.91,8.2,13.89,10.45
5451-1,2014-03-31,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,DrawIt Colored Pencils,office supplies,Small Box,Express Air,2014-03-31,4.37,9.11,4.74,21.0,9.11,0.0,0.91,8.2,2.25,10.45
5451-1,2014-03-31,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"DrawIt Colored Pencils, 48-Color Set",office supplies,Wrap Bag,Regular Air,2014-03-31,21.56,36.55,14.99,15.0,9.11,0.0,0.91,8.2,13.89,10.45
5452-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Low,Apex Straight Scissors,office supplies,Small Box,Regular Air,2013-06-05,5.19,12.98,7.79,34.0,133.68,3.0,12.04,131.76,3.14,132.36
5453-1,2014-10-17,Sam Craven,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady Pocket Accent Highlighters,office supplies,Small Pack,Express Air,2014-10-19,0.93,1.6,0.67,33.0,80.68,7.0,5.65,74.41,1.29,75.92
5453-1,2014-07-15,Muria Zettner,"6 Mary St,Newtown",Sydney,NSW,Consumer,Samantha Chairs,Low,Apex Preferred Stainless Steel Scissors,office supplies,Wrap Bag,Regular Air,2014-07-15,2.5,5.68,3.18,21.0,147.84,0.0,5.95,131.93,3.6,136.14
5454-1,2013-03-30,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,Apex Straight Scissors,technology,Small Box,Regular Air,2013-03-31,5.19,12.98,7.79,22.0,392.95,9.0,0.0,339.93,3.14,342.34
5455-1,2015-01-14,Maya Herman,"273 George Street,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Low,1726 Digital Answering Machine,technology,Jumbo Drum,Delivery Truck,2015-01-15,8.82,20.99,12.17,50.0,872.8,8.0,61.34,817.58,4.81,828.63
5455-1,2015-03-02,Grean Thornton,"73 MacLeay St,Potts Point",Sydney,NSW,Corporate,Natasha Song,High,Artisan 474 Labels,furniture,Small Pack,Regular Air,2015-03-04,1.84,2.88,1.04,37.0,28.4,9.0,0.37,26.93,0.99,26.42
5456-1,2013-02-16,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Low,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",office supplies,Wrap Bag,Regular Air,2013-02-22,56.16,136.98,80.82,40.0,477.5,1.0,0.0,476.7,24.49,485.2
5456-1,2014-04-04,Carlos Daly,"6-8 O'Connell Street,Newtown",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Barrel Sharpener,office supplies,Wrap Bag,Regular Air,2014-04-05,1.46,3.57,2.11,4.0,146.37,9.0,4.39,141.98,4.17,146.15
5456-1,2015-12-28,Sally Knutson,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Binder Labels,office supplies,Small Box,Regular Air,2016-01-04,2.45,3.89,1.44,23.0,173.62,2.0,1.04,164.04,7.01,161.69
5456-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",furniture,Large Box,Regular Air,2013-08-17,4.53,7.3,2.77,44.0,339.55,9.0,33.75,319.57,7.72,339.64
5456-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Low,Artisan 479 Labels,office supplies,Small Box,Express Air,2013-03-10,1.59,2.61,1.02,17.0,5.54,4.0,0.0,6.44,0.5,6.04
5457-1,2013-11-23,Justin Hirsh,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Small Business,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",office supplies,Wrap Bag,Regular Air,2013-11-24,1.87,8.12,6.25,12.0,369.95,10.0,27.8,359.67,2.83,359.36
5457-1,2014-04-03,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Corporate,Radhya Staples,Critical,Smiths Bulldog Clip,office supplies,Wrap Bag,Regular Air,2014-04-05,2.31,3.78,1.47,9.0,160.54,8.0,1.61,158.93,0.71,159.69
5457-1,2015-06-29,Michelle Huthwaite,"155 Oxford Street,Darlinghurst",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,Artisan Poly Binder Pockets,office supplies,Wrap Bag,Regular Air,2015-07-03,2.26,3.58,1.32,18.0,144.0,4.0,1.44,142.58,5.47,143.58
5457-1,2014-04-03,Tom Stivers,"21 Wentworth St,Parramatta",Sydney,NSW,Home Office,Aanya Zhang,High,OIC Bulk Pack Metal Binder Clips,office supplies,Wrap Bag,Express Air,2014-04-02,2.13,3.49,1.36,16.0,160.52,10.0,1.61,158.93,0.76,159.69
5457-1,2014-04-03,Tom Stivers,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,OIC Bulk Pack Metal Binder Clips,office supplies,Small Box,Regular Air,2014-04-02,3.95,6.08,2.13,27.0,160.54,3.0,1.61,158.93,1.82,159.69
5457-1,2014-04-04,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,High,OIC Bulk Pack Metal Binder Clips,office supplies,Small Box,Regular Air,2014-04-05,3.95,6.08,2.13,50.0,160.54,10.0,1.61,158.93,1.82,159.69
5457-1,2014-08-11,Benjamin Patterson,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,12 Colored Short Pencils,office supplies,Small Box,Express Air,2014-08-12,1.09,2.6,1.51,26.0,50.44,3.0,0.12,49.24,2.4,40.07
5457-1,2015-09-06,Roy Collins,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,"Artisan Flip-Chart Easel Binder, Black",technology,Jumbo Drum,Delivery Truck,2015-09-07,13.88,22.38,8.5,25.0,306.35,2.0,30.27,378.56,15.1,388.33
5457-1,2015-12-06,Dan Lawera,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,High,"OIC Colored Binder Clips, Assorted Sizes",office supplies,Small Box,Express Air,2015-12-07,2.29,3.58,1.29,16.0,188.64,10.0,5.35,158.93,1.63,159.69
5458-1,2014-10-01,Jamie Kunitz,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Smiths SlimLine Pencil Sharpener,office supplies,Wrap Bag,Regular Air,2014-10-02,4.79,11.97,7.18,39.0,49.2,10.0,0.0,45.2,5.81,45.9
5458-1,2014-02-24,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,office supplies,Small Box,Regular Air,2014-02-26,1.84,2.88,1.04,13.0,59.6,10.0,0.0,59.0,0.99,60.4
5458-1,2013-07-27,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Critical,Steady Pocket Accent Highlighters,technology,Small Pack,Regular Air,2013-07-29,0.93,1.6,0.67,49.0,59.36,2.0,3.95,53.41,1.29,55.14
5459-1,2014-02-13,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Medium,Artisan Poly Binder Pockets,office supplies,Small Box,Regular Air,2014-12-15,2.26,3.58,1.32,1.0,138.46,2.0,11.84,124.87,5.47,125.66
5459-1,2014-07-07,Thea Hendricks,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Low,Artisan 477 Labels,office supplies,Wrap Bag,Express Air,2014-07-08,2.29,3.69,1.4,21.0,41.6,0.0,1.56,39.0,0.5,41.38
5459-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,Artisan 478 Labels,office supplies,Small Box,Regular Air,2014-08-09,3.14,4.91,1.77,13.0,52.0,9.0,2.76,52.64,0.5,53.04
5459-1,2013-05-19,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Hanging File Binders,office supplies,Small Box,Regular Air,2013-05-20,3.65,5.98,2.33,33.0,129.05,8.0,3.86,129.53,1.49,122.48
5459-1,2013-08-20,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Critical,Artisan 481 Labels,office supplies,Wrap Bag,Regular Air,2013-08-22,1.94,3.08,1.14,3.0,79.9,9.0,2.39,70.91,0.99,80.4
5459-1,2015-05-18,Lisa DeCherney,"531 King St,Newtown",Sydney,NSW,Consumer,Mihael Khan,Medium,Colored Envelopes,technology,Jumbo Drum,Delivery Truck,2015-05-25,2.25,3.69,1.44,5.0,56.92,1.0,3.35,55.6,2.5,55.6
5459-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan 478 Labels,technology,Small Box,Regular Air,2013-02-20,3.14,4.91,1.77,24.0,73.5,8.0,4.69,74.97,0.5,75.63
5460-1,2013-12-27,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,Critical,Beekin 105-Key Black Keyboard,office supplies,Small Box,Express Air,2013-12-29,6.39,19.98,13.59,43.0,934.24,3.0,93.12,974.4,4.0,754.27
5460-1,2014-04-06,Steve Chapman,"1/50-58 Hunter St,Sydney",Sydney,NSW,Consumer,Preston Senome,Medium,Artisan Hi-Liter Fluorescent Desk Style Markers,office supplies,Small Box,Regular Air,2014-04-11,1.76,3.38,1.62,10.0,60.45,5.0,1.21,59.24,0.85,60.87
5460-1,2013-10-04,Carlos Daly,"6-8 O'Connell Street,Newtown",Sydney,NSW,Corporate,Nicholas Fernandes,Low,Beekin 105-Key Black Keyboard,office supplies,Small Box,Regular Air,2013-10-05,6.39,19.98,13.59,44.0,731.24,1.0,60.72,666.54,4.0,661.94
5460-1,2015-11-01,Bobby Trafton,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Critical,Binder Clips by OIC,office supplies,Small Pack,Regular Air,2015-11-03,0.93,1.48,0.55,6.0,47.97,2.0,4.41,44.57,0.7,45.53
5460-1,2014-07-18,Julia Dunbar,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Small Business,Phoebe Gour,High,Smiths SlimLine Pencil Sharpener,technology,Small Box,Regular Air,2014-07-25,4.79,11.97,7.18,47.0,134.48,0.0,5.71,127.33,5.81,129.93
5461-1,2013-05-29,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,office supplies,Small Box,Regular Air,2013-05-29,2.16,3.85,1.69,23.0,127.52,1.0,3.65,112.68,0.7,123.07
5463-1,2013-12-05,Grobbarah Frawer,"3 Orwell St,Potts Point",Sydney,NSW,Home Office,Leighton Forrest,High,Beekin 105-Key Black Keyboard,office supplies,Small Box,Regular Air,2013-12-07,6.39,19.98,13.59,21.0,63.56,9.0,18.68,62.59,4.0,63.88
